OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
125,ROBBERY,40.88432,-73.857322,,,
126,ROBBERY,40.866665,-73.863482,,,
127,ROBBERY,40.826128,-73.852842,,,
128,ROBBERY,40.896786,-73.840398,,,
129,ROBBERY,40.844591,-73.828014,,,
130,ROBBERY,40.817137,-73.917289,,,
131,ROBBERY,40.834495,-73.913372,,,
132,ROBBERY,40.811938,-73.906591,,,
133,ROBBERY,40.827239,-73.907437,,,
134,ROBBERY,40.831555,-73.899636,,,
135,ROBBERY,40.823532,-73.898881,,,
136,ROBBERY,40.814677,-73.891915,,,
137,ROBBERY,40.83002685,-73.87275417,,,
138,ROBBERY,40.863258,-73.869909,,,
139,ROBBERY,40.82566,-73.871672,,,
140,ROBBERY,40.831828,-73.846282,,,
141,ROBBERY,40.833723,-73.856192,,,
142,ROBBERY,40.881816,-73.8497,,,
143,ROBBERY,40.823657,-73.836407,,,
144,ROBBERY,40.85333318,-73.91960036,,,
145,ROBBERY,40.827453,-73.921424,,,
146,ROBBERY,40.86118,-73.906354,,,
147,ROBBERY,40.824977,-73.903626,,,
148,ROBBERY,40.821008,-73.901069,,,
149,ROBBERY,40.82211871,-73.89687933,,,
150,ROBBERY,40.852038,-73.888428,,,
151,ROBBERY,40.826963,-73.896413,,,
152,ROBBERY,40.823868,-73.891861,,,
153,ROBBERY,40.85083239,-73.88933084,,,
154,ROBBERY,40.82858179,-73.87917076,,,
155,ROBBERY,40.87124988,-73.85661415,,,
156,ROBBERY,40.813953,-73.859332,,,
157,ROBBERY,40.835997,-73.861028,,,
158,ROBBERY,40.819689,-73.848185,,,
159,ROBBERY,40.822622,-73.930942,,,
160,ROBBERY,40.846643,-73.913104,,,
161,RAPE,40.82227104,-73.91169778,,,
162,ROBBERY,40.827359,-73.906858,,,
163,ROBBERY,40.848152,-73.904804,,,
164,ROBBERY,40.847551,-73.900224,,,
165,ROBBERY,40.848495,-73.902353,,,
166,ROBBERY,40.825118,-73.890118,,,
167,ROBBERY,40.85242466,-73.86872428,,,
168,ROBBERY,40.838609,-73.870068,,,
169,ROBBERY,40.868338,-73.863428,,,
170,ROBBERY,40.835997,-73.861028,,,
171,ROBBERY,40.876592,-73.847732,,,
172,ROBBERY,40.829913,-73.916054,,,
173,ROBBERY,40.862037,-73.911398,,,
174,RAPE,40.85359837,-73.90057688,,,
175,ROBBERY,40.856141,-73.894409,,,
176,ROBBERY,40.855921,-73.895794,,,
177,ROBBERY,40.835933,-73.886463,,,
178,ROBBERY,40.828621,-73.878703,,,
179,ROBBERY,40.83042,-73.882222,,,
180,ROBBERY,40.829861,-73.87947,,,
181,ROBBERY,40.827106,-73.880736,,,
182,RAPE,40.85657673,-73.84389368,,,
