OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
205,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.70765776,-73.85901226
206,CASTLE HILL PARK,PARKS,PARKS AND PLAZAS,BRONX,40.81190303,-73.84750276
218,PARK,UNDEVELOPED,PARKS AND PLAZAS,QUEENS,40.60082137,-73.82223777
224,FRANK PRINCIPE PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.72746742,-73.90473914
229,GARDEN OF EDEN,GARDENS,PARKS AND PLAZAS,BRONX,40.84346358,-73.90739365
230,ROSEDALE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.65996352,-73.73990711
234,ROCHDALE VILLAGE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.67287599,-73.77058657
247,WOODSTOCK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.82064019,-73.9046281
248,MARCY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6916309,-73.9512645
252,GRANJA FARM OTF,GARDENS,PARKS AND PLAZAS,BRONX,40.81569714,-73.91151991
258,MARGRICHANTE GARDEN,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.81375189,-73.94344304
262,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.8850833,-73.89734771
264,CORTELYOU LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.64058562,-73.96597548
269,EAST PROMENADE,PARKS,PARKS AND PLAZAS,MANHATTAN,40.765531,-73.945446
270,JAMAICA BAY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.63452505,-73.88924763
275,WOODHAVEN,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.69454527,-73.86144041
276,PARK,UNDEVELOPED,PARKS AND PLAZAS,QUEENS,40.59249194,-73.75941774
279,COLONELS ROW,PARKS,PARKS AND PLAZAS,MANHATTAN,40.690715,-74.018823
283,BOROUGH PARK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6388562,-73.9890175
290,HARMONY TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70327088,-73.95039703
300,CARROLL GARDENS LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.68321273,-73.99801786
302,KINGS HIGHWAY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6102518,-73.95311102
303,SEABURY PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.83648824,-73.8878706
