OBJECTID,Complaint ID,Offense,Latitude,Longitude,Borough,Public Area
296,276119899,ROBBERY,40.612606,-74.083121,,
297,276145416,ROBBERY,40.63057037,-74.13950741,,
298,276194052,ROBBERY,40.619322,-74.083627,,
299,276294668,ROBBERY,40.629309,-74.074579,,
300,276348355,ROBBERY,40.61065032,-74.0841952,,
301,276623267,RAPE,40.57428569,-74.10591441,,
302,276420284,ROBBERY,40.59559763,-74.06312226,,
303,276520808,ROBBERY,40.58855596,-74.15435786,,
304,276608141,ROBBERY,40.53277,-74.192222,,
305,276679520,RAPE,40.62318838,-74.14923769,,
306,276805760,ROBBERY,40.629262,-74.07943,,
307,276898377,ROBBERY,40.63484205,-74.13423444,,
308,276973884,ROBBERY,40.635218,-74.168673,,
309,277027340,ROBBERY,40.618152,-74.10507,,
310,277119155,ROBBERY,40.557871,-74.155367,,
311,277146502,ROBBERY,40.553185,-74.158714,,
312,277170601,ROBBERY,40.612606,-74.083121,,
313,277277177,ROBBERY,40.613717,-74.084818,,
314,277216869,ROBBERY,40.61547,-74.081663,,
315,277333266,ROBBERY,40.521618,-74.217048,,
316,277318870,ROBBERY,40.637813,-74.079688,,
317,277459254,ROBBERY,40.632736,-74.096419,,
318,277458772,ROBBERY,40.6339552,-74.08574862,,
319,277554511,ROBBERY,40.638805,-74.08747,,
320,277629153,ROBBERY,40.640051,-74.078374,,
321,277700939,ROBBERY,40.632736,-74.096419,,
322,277729040,ROBBERY,40.639728,-74.083405,,
323,277748697,ROBBERY,40.598261,-74.070417,,
324,278137147,RAPE,40.64472094,-74.07703272,,
325,277839072,ROBBERY,40.632172,-74.089875,,
326,277827983,ROBBERY,40.64472094,-74.07703272,,
327,277933314,ROBBERY,40.644731,-74.088948,,
328,277941135,ROBBERY,40.643925,-74.078103,,
329,277938632,ROBBERY,40.64351,-74.081569,,
330,277975480,ROBBERY,40.640157,-74.088667,,
331,277970165,ROBBERY,40.633098,-74.086445,,
332,277974842,ROBBERY,40.6440286,-74.08194194,,
333,278042705,ROBBERY,40.620388,-74.084434,,
334,278310310,RAPE,40.64472094,-74.07703272,,
335,278237499,RAPE,40.62318838,-74.14923769,,
336,278100333,RAPE,40.62318838,-74.14923769,,
337,278078129,ROBBERY,40.633064,-74.136827,,
338,278046094,ROBBERY,40.616191,-74.104035,,
339,278100345,ROBBERY,40.60180983,-74.12059529,,
340,278251702,ROBBERY,40.542668,-74.208373,,
341,278237496,RAPE,40.64472094,-74.07703272,,
342,278254193,ROBBERY,40.623977,-74.081548,,
343,278233448,ROBBERY,40.633648,-74.146127,,
344,278439580,ROBBERY,40.643996,-74.076502,,
345,278470765,ROBBERY,40.64479282,-74.08028168,,
346,278630731,ROBBERY,40.62887,-74.073928,,
347,278717310,ROBBERY,40.63681194,-74.13729378,,
348,278659498,ROBBERY,40.61627704,-74.06774868,,
349,278684430,ROBBERY,40.613195,-74.121034,,
350,278708754,ROBBERY,40.632918,-74.155141,,
351,278793166,RAPE,40.51203825,-74.24975495,,
352,278833163,ROBBERY,40.64322,-74.075921,,
