OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
35,262661514,2023-01-28,23:45:00,2023-01-28,23:50:00,120,2023-01-29,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),955316,162922,40.61381238,-74.10421438,"(40.61381238, -74.10421438)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,262649424,2023-01-28,14:30:00,2023-01-28,14:40:00,120,2023-01-28,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,CHAIN STORE,N.Y. POLICE DEPT,(null),(null),960701,162881,40.613717,-74.084818,"(40.613717, -74.084818)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,262685009,2023-01-29,15:55:00,2023-01-29,16:10:00,121,2023-01-29,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,(null),(null),937123,149970,40.578185,-74.169648,"(40.578185, -74.169648)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,262720135,2023-01-30,15:30:00,2023-01-30,15:50:00,122,2023-01-30,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),950640,160663,40.607597,-74.121045,"(40.607597, -74.121045)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,262791789,2023-01-31,3:00:00,2023-01-31,05:00:00,121,2023-01-31,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),941047,167852,40.627286,-74.155636,"(40.627286, -74.155636)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,262780841,2023-01-31,19:25:00,,(null),122,2023-01-31,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,INSIDE,STORE UNCLASSIFIED,N.Y. POLICE DEPT,(null),(null),966053,157279,40.598352,-74.065527,"(40.598352, -74.065527)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,262901739,2023-02-02,7:50:00,2023-02-02,08:00:00,121,2023-02-02,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),944696,171830,40.638224,-74.142515,"(40.638224, -74.142515)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,262984245,2023-02-03,14:25:00,2023-02-03,14:29:00,120,2023-02-03,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,STATEN ISLAND,REAR OF,OTHER,N.Y. POLICE DEPT,(null),(null),963019,173910,40.643996,-74.076502,"(40.643996, -74.076502)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,262954688,2023-02-03,0:00:00,2023-02-03,00:15:00,120,2023-02-03,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),964813,162295,40.612118,-74.070003,"(40.612118, -74.070003)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,264354937,2023-02-04,20:00:00,2023-02-04,23:59:00,123,2023-02-28,104,RAPE,153,RAPE 3,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),914803,125922,40.51203825,-74.24975495,"(40.5120382535219, -74.2497549524458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
