OBJECTID,Complaint ID,Offense,Latitude,Longitude,geometry
160,269303345,ROBBERY,40.639713,-74.088073,POINT (4523992.15714478 -12551210.25720989)
161,269306893,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
162,269333036,ROBBERY,40.63673589,-74.13428148,POINT (4523660.746775544 -12569999.30652894)
163,269425283,ROBBERY,40.614918,-74.101409,POINT (4521231.990370561 -12556627.40881441)
164,269538562,ROBBERY,40.527884,-74.227217,POINT (4511543.409808859 -12607950.26147839)
165,269616971,ROBBERY,40.64322,-74.075921,POINT (4524382.554598993 -12546277.90238572)
166,269677842,ROBBERY,40.619404,-74.084672,POINT (4521731.36960626 -12549829.46136803)
167,269788091,ROBBERY,40.562163,-74.174358,POINT (4515359.330633761 -12586338.23389813)
168,269810372,ROBBERY,40.63965233,-74.07550486,POINT (4523985.403391274 -12546109.06095969)
169,269966495,ROBBERY,40.582305,-74.169067,POINT (4517601.52781732 -12584178.8203325)
170,269975852,ROBBERY,40.62156431,-74.16848285,POINT (4521971.854215414 -12583940.45455205)
171,270040299,ROBBERY,40.611323,-74.159715,POINT (4520831.796801159 -12580363.71205519)
172,270018956,ROBBERY,40.625819,-74.078759,POINT (4522445.484139699 -12547429.48518385)
173,270077622,ROBBERY,40.550145,-74.17089,POINT (4514021.492993409 -12584922.76112128)
174,270078137,ROBBERY,40.613033,-74.123317,POINT (4521022.153130416 -12565536.16756356)
175,270084982,ROBBERY,40.611647,-74.070934,POINT (4520867.864316176 -12544254.79838507)
176,270177922,ROBBERY,40.626237,-74.175155,POINT (4522492.01568685 -12586663.57413222)
177,270085642,ROBBERY,40.59535,-74.086097,POINT (4519053.690574719 -12550407.97212155)
178,270113487,ROBBERY,40.63401,-74.16626,POINT (4523357.302088786 -12583033.4861225)
179,270132690,ROBBERY,40.636249,-74.076013,POINT (4523606.546428672 -12546315.23033453)
180,270214034H1,MURDER & NON-NEGL. MANSLAUGHTER,40.62676,-74.154365,POINT (4522550.235780534 -12578182.18929275)
181,270196579,ROBBERY,40.63457814,-74.14583171,POINT (4523420.547144286 -12574704.12898534)
182,270185735,ROBBERY,40.63776,-74.076476,POINT (4523774.750179261 -12546503.09048331)
183,270314619,ROBBERY,40.635466,-74.127964,POINT (4523519.383267381 -12567427.38221764)
184,270334196,ROBBERY,40.627141,-74.078302,POINT (4522592.648506528 -12547244.03357345)
185,270352583,ROBBERY,40.619228,-74.069942,POINT (4521711.77737588 -12543852.44180463)
186,270384994,ROBBERY,40.625382,-74.092682,POINT (4522396.837522222 -12553081.95633125)
187,270978546,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
188,270512562,ROBBERY,40.618583,-74.084877,POINT (4521639.976304319 -12549912.68261463)
189,270483046,ROBBERY,40.63594,-74.089363,POINT (4523572.148706017 -12551734.06856438)
190,270632723,ROBBERY,40.541776,-74.173318,POINT (4513089.860174959 -12585913.72359894)
191,270612550,ROBBERY,40.636249,-74.076013,POINT (4523606.546428672 -12546315.23033453)
192,270649438,ROBBERY,40.618806,-74.082327,POINT (4521664.800550765 -12548877.56578332)
193,270976425,ROBBERY,40.635001,-74.169717,POINT (4523467.619704163 -12584444.0666601)
194,271015360,ROBBERY,40.546678,-74.222482,POINT (4513635.548318828 -12606011.42470183)
195,271016897H1,MURDER & NON-NEGL. MANSLAUGHTER,40.617024,-74.123601,POINT (4521466.429218171 -12565651.73310172)
196,271161153,ROBBERY,40.62325194,-74.08382565,POINT (4522159.720327663 -12549485.89046137)
197,271136340,ROBBERY,40.634484,-74.118152,POINT (4523410.067527422 -12563434.77238132)
198,271579265,ROBBERY,40.548003,-74.226121,POINT (4513783.046644129 -12607501.43275862)
199,271171731,ROBBERY,40.635466,-74.127964,POINT (4523519.383267381 -12567427.38221764)
200,271226444,ROBBERY,40.603782,-74.08354,POINT (4519992.336521087 -12549369.9365065)
201,271612488,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
202,274118035,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
203,271337369,ROBBERY,40.59535,-74.086097,POINT (4519053.690574719 -12550407.97212155)
204,271380562,ROBBERY,40.59861136,-74.08075909,POINT (4519416.743509212 -12548241.18714183)
205,271410234,ROBBERY,40.567358,-74.112884,POINT (4515937.635388433 -12561292.15709826)
206,271442074,ROBBERY,40.626851,-74.163438,POINT (4522560.365854197 -12581882.23091505)
207,271522220,ROBBERY,40.637067,-74.076204,POINT (4523697.605772141 -12546392.72707296)
208,271812183H1,MURDER & NON-NEGL. MANSLAUGHTER,40.636323,-74.157967,POINT (4523614.784070991 -12579650.86641216)
209,271772343,ROBBERY,40.597176,-74.085176,POINT (4519256.959964907 -12550034.06571974)
210,271757495,ROBBERY,40.62166,-74.071903,POINT (4521982.506377489 -12544647.84970015)
211,271755367,ROBBERY,40.62873698,-74.07447658,POINT (4522770.312187443 -12545691.87301386)
212,273035030H1,MURDER & NON-NEGL. MANSLAUGHTER,40.64015888,-74.13171207,POINT (4524041.792279336 -12568953.14755154)
213,271804604,ROBBERY,40.50936,-74.247188,POINT (4509481.327561405 -12616134.01823868)
214,271826173,ROBBERY,40.624707,-74.162813,POINT (4522321.696865937 -12581627.28470625)
215,271894148,ROBBERY,40.632336,-74.146537,POINT (4523170.953261198 -12574991.52704838)
216,271858743,ROBBERY,40.601727,-74.192701,POINT (4519763.574967506 -12593830.0057107)
217,271866431,ROBBERY,40.540629,-74.17661,POINT (4512962.17671902 -12587257.5551405)
218,271996534,ROBBERY,40.623238,-74.149217,POINT (4522158.168533961 -12576083.71174357)
219,272100641,ROBBERY,40.6236888,-74.15065779,POINT (4522208.35136041 -12576670.95357057)
220,271996533,ROBBERY,40.640274,-74.134809,POINT (4524054.607379115 -12570214.11158577)
221,272096922H1,MURDER & NON-NEGL. MANSLAUGHTER,40.644294,-74.098423,POINT (4524502.111732105 -12555414.09578444)
