OBJECTID,Offense,BORO_NM,Latitude,Longitude,geometry
490747,RAPE,BROOKLYN,40.60221617,-74.0029508,POINT (4519818.029122818 -12516737.03588629)
490775,ROBBERY,BROOKLYN,40.580142,-73.998801,POINT (4517360.743758734 -12515060.99943719)
490803,ROBBERY,BROOKLYN,40.702862,-73.989603,POINT (4531021.871668885 -12511347.58589282)
490833,ROBBERY,BROOKLYN,40.69475,-73.991386,POINT (4530118.84795957 -12512067.25570944)
490858,ROBBERY,BROOKLYN,40.57888,-73.985743,POINT (4517220.258561353 -12509789.84679192)
490951,ROBBERY,BROOKLYN,40.626492,-73.976342,POINT (4522520.402157002 -12505997.5144628)
491117,ROBBERY,BROOKLYN,40.698482,-73.934374,POINT (4530534.29229921 -12489094.14388885)
491131,ROBBERY,BROOKLYN,40.69206,-73.93237,POINT (4529819.398529335 -12488288.07259676)
491153,ROBBERY,BROOKLYN,40.683665,-73.933692,POINT (4528884.871404125 -12488819.81123289)
491167,ROBBERY,BROOKLYN,40.634977,-73.932014,POINT (4523464.948036384 -12488144.88853446)
491188,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.681753,-73.924165,POINT (4528672.028537729 -12484988.78624578)
491304,ROBBERY,BROOKLYN,40.69993783,-73.91180789,POINT (4530696.354553492 -12480023.00083374)
491374,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67021181,-73.89833985,POINT (4527387.269143781 -12474615.00830709)
491504,ROBBERY,BROOKLYN,40.666631,-73.873997,POINT (4526988.655197954 -12464851.4790994)
491858,ROBBERY,BROOKLYN,40.59703949,-74.00257104,POINT (4519241.763741218 -12516583.63942397)
492020,ROBBERY,BROOKLYN,40.685447,-73.987204,POINT (4529083.24273672 -12510379.4039952)
492109,ROBBERY,BROOKLYN,40.680572,-73.967816,POINT (4528540.560219103 -12502560.02730253)
492223,ROBBERY,BROOKLYN,40.66904,-73.951969,POINT (4527256.823851275 -12496175.6077404)
492271,ROBBERY,BROOKLYN,40.70411264,-73.9478547,POINT (4531161.09227685 -12494519.04748846)
492308,ROBBERY,BROOKLYN,40.691462,-73.944079,POINT (4529752.829473841 -12492999.18311786)
492413,ROBBERY,BROOKLYN,40.699246,-73.939296,POINT (4530619.340390177 -12491074.34135668)
492531,ROBBERY,BROOKLYN,40.662229,-73.919852,POINT (4526498.626799482 -12483255.15695016)
492674,ROBBERY,BROOKLYN,40.645639,-73.902874,POINT (4524651.836447221 -12476435.17103912)
492759,ROBBERY,BROOKLYN,40.666786,-73.89651,POINT (4527005.909719027 -12473880.58531414)
492776,ROBBERY,BROOKLYN,40.669425,-73.889479,POINT (4527299.68185523 -12471059.40030294)
492902,ROBBERY,BROOKLYN,40.656953,-73.876507,POINT (4525911.305166056 -12465857.53643589)
492944,ROBBERY,BROOKLYN,40.650466,-73.869986,POINT (4525189.175629281 -12463244.10784333)
492952,ROBBERY,BROOKLYN,40.668611,-73.868785,POINT (4527209.067789724 -12462762.89386309)
493327,ROBBERY,BROOKLYN,40.638861,-74.020484,POINT (4523897.312938624 -12523823.0860879)
493653,ROBBERY,BROOKLYN,40.6091,-73.970431,POINT (4520584.333573125 -12503614.14587522)
493727,ROBBERY,BROOKLYN,40.671563,-73.948949,POINT (4527537.682926546 -12494959.61036144)
493733,ROBBERY,BROOKLYN,40.637997,-73.955765,POINT (4523801.132898578 -12497704.37616751)
493853,ROBBERY,BROOKLYN,40.696522,-73.939249,POINT (4530316.106097255 -12491055.42972865)
493865,ROBBERY,BROOKLYN,40.672748,-73.937711,POINT (4527669.596523136 -12490436.60660999)
493872,ROBBERY,BROOKLYN,40.687724,-73.937489,POINT (4529336.717217256 -12490347.28840196)
493890,ROBBERY,BROOKLYN,40.6969863,-73.93522383,POINT (4530367.79173683 -12489436.0015766)
493930,ROBBERY,BROOKLYN,40.679109,-73.925915,POINT (4528377.699804071 -12485692.33558415)
494257,ROBBERY,BROOKLYN,40.672782,-73.889867,POINT (4527673.381385823 -12471215.05384645)
494334,ROBBERY,BROOKLYN,40.67364,-73.870523,POINT (4527768.893508923 -12463459.28308033)
494379,ROBBERY,BROOKLYN,40.674768,-73.871757,POINT (4527894.461894538 -12463953.77178278)
494644,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,,,POINT (nan nan)
494686,ROBBERY,BROOKLYN,40.628445,-74.0125,POINT (4522737.809122521 -12520595.41061502)
494705,ROBBERY,BROOKLYN,40.64451,-74.014616,POINT (4524526.156742116 -12521450.68871989)
494715,ROBBERY,BROOKLYN,40.67414592,-74.00600602,POINT (4527825.212265706 -12517971.25999667)
494824,ROBBERY,BROOKLYN,40.701399,-73.983806,POINT (4530859.011253854 -12509008.2901002)
494961,ROBBERY,BROOKLYN,40.647706,-73.962745,POINT (4524881.933834691 -12500516.36084062)
495036,ROBBERY,BROOKLYN,40.653396,-73.949849,POINT (4525515.341737305 -12495321.9703824)
495048,ROBBERY,BROOKLYN,40.723914,-73.950356,POINT (4533365.369589064 -12495526.10857297)
495214,RAPE,BROOKLYN,40.67449569,-73.93057133,POINT (4527864.148484 -12487564.67478506)
495355,ROBBERY,BROOKLYN,40.69847382,-73.91776898,POINT (4530533.381705775 -12482418.04002762)
495410,ROBBERY,BROOKLYN,40.67206083,-73.90359664,POINT (4527593.101108647 -12476725.30953954)
495605,ROBBERY,BROOKLYN,40.68769,-73.872977,POINT (4529332.932354569 -12464442.68660923)
496303,ROBBERY,BROOKLYN,40.628655,-73.962994,POINT (4522761.186215589 -12500616.69577447)
496326,ROBBERY,BROOKLYN,40.71725,-73.960494,POINT (4532623.536502418 -12499609.38575647)
496388,ROBBERY,BROOKLYN,40.65617,-73.951606,POINT (4525824.142004766 -12496029.43468508)
496403,ROBBERY,BROOKLYN,40.713678,-73.957168,POINT (4532225.903281305 -12498269.4974766)
496417,ROBBERY,BROOKLYN,40.632597,-73.948055,POINT (4523200.007648295 -12494599.68565963)
496453,ROBBERY,BROOKLYN,40.701912,-73.943915,POINT (4530916.118152631 -12492933.17470095)
496674,ROBBERY,BROOKLYN,40.68576112,-73.91550083,POINT (4529118.210415168 -12481506.64374149)
496692,ROBBERY,BROOKLYN,40.632837,-73.917414,POINT (4523226.724326085 -12482275.39241238)
496811,ROBBERY,BROOKLYN,40.67034823,-73.8974204,POINT (4527402.455348715 -12474245.97051463)
496949,ROBBERY,BROOKLYN,40.682176,-73.882345,POINT (4528719.116682335 -12468198.11140716)
497506,ROBBERY,BROOKLYN,40.645911,-74.0041,POINT (4524682.115348717 -12517201.25386394)
497664,ROBBERY,BROOKLYN,40.695631,-73.981363,POINT (4530216.920430958 -12508022.69961125)
497708,ROBBERY,BROOKLYN,40.696818,-73.966581,POINT (4530349.05666653 -12502062.25130684)
497813,ROBBERY,BROOKLYN,40.682481,-73.953736,POINT (4528753.069127027 -12496887.1903303)
497843,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.644293,-73.952149,POINT (4524502.000412613 -12496248.09144119)
497885,ROBBERY,BROOKLYN,40.706243,-73.943026,POINT (4531398.242867257 -12492575.37220649)
497982,ROBBERY,BROOKLYN,40.664049,-73.934349,POINT (4526701.228272726 -12489084.08750624)
498083,ROBBERY,BROOKLYN,40.66878,-73.916827,POINT (4527227.880783668 -12482039.51500315)
498122,ROBBERY,BROOKLYN,40.698624,-73.913685,POINT (4530550.099666903 -12480777.09050397)
498149,ROBBERY,BROOKLYN,40.661992,-73.91268707,POINT (4526472.244080164 -12480376.18233959)
498289,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.6616,-73.890732,POINT (4526428.606839772 -12471562.07810561)
498316,ROBBERY,BROOKLYN,40.65276842,-73.88628975,POINT (4525445.479851273 -12469780.11056747)
498867,ROBBERY,BROOKLYN,40.674873,-74.008661,POINT (4527906.150441071 -12519043.98472676)
498933,ROBBERY,BROOKLYN,40.596881,-73.996659,POINT (4519224.120715123 -12514196.04625238)
499079,ROBBERY,BROOKLYN,40.603212,-73.981216,POINT (4519928.884411335 -12507963.39940836)
499153,ROBBERY,BROOKLYN,40.675197,-73.961628,POINT (4527942.217956088 -12500066.28263355)
499176,ROBBERY,BROOKLYN,40.706189,-73.963422,POINT (4531392.231614754 -12500789.16257899)
499313,ROBBERY,BROOKLYN,40.70739107,-73.95052842,POINT (4531526.045435052 -12495595.53309413)
499446,ROBBERY,BROOKLYN,40.677639,-73.93447,POINT (4528214.060152605 -12489132.76053965)
499557,ROBBERY,BROOKLYN,40.670047,-73.921172,POINT (4527368.922578503 -12483785.68866823)
499844,RAPE,BROOKLYN,40.67135982,-73.88181102,POINT (4527515.065032407 -12467983.99349041)
499855,ROBBERY,BROOKLYN,40.658372,-73.886184,POINT (4526069.267523492 -12469737.69576026)
499862,ROBBERY,BROOKLYN,40.68158,-73.879686,POINT (4528652.770265821 -12467131.96097435)
